time,event,p1,p2
0.0326108231872372,3,159,145.0
0.05121261817409317,3,25,182.0
0.06380115925009641,3,33,59.0
0.08534527830922578,3,149,156.0
0.1424158182214676,3,198,58.0
0.16207576769122153,3,2,146.0
0.16255307776886357,3,83,69.0
0.16353063559637046,6,46,62.0
0.16547357282496025,3,78,158.0
0.24908996500355754,3,174,50.0
0.2724129010381806,3,5,8.0
0.3307110554574365,3,79,114.0
0.3310401736678741,3,50,162.0
0.35454495465576324,3,170,64.0
0.3584366945499444,3,40,14.0
0.3872112825745463,3,44,164.0
0.4043462064697497,3,171,125.0
0.41654391226860593,3,185,63.0
0.443055442984842,3,120,64.0
0.4580646141588005,6,171,39.0
0.4861474638404963,3,123,63.0
0.5547218523219822,3,58,164.0
0.56189212568951,3,5,187.0
0.5731275659084976,3,63,39.0
0.5734167213605124,3,147,23.0
0.6052582866382827,3,185,50.0
0.6267249518485506,6,171,106.0
0.6388962999158617,3,75,184.0
0.6614295964118275,3,123,189.0
0.6679785849423362,3,78,176.0
0.740658814379209,6,151,20.0
0.7461463788964797,3,12,123.0
0.7714250497450876,3,92,89.0
0.7760172605522468,6,98,138.0
0.792914907514599,3,32,155.0
0.8118271200777641,3,43,131.0
0.8701832966290096,3,144,146.0
0.913492522412143,3,63,101.0
0.9157653879238911,3,46,78.0
0.9267485094306716,6,66,55.0
0.9294048567240782,3,181,63.0
0.9358836296418845,3,0,44.0
0.9447507911151797,3,36,69.0
0.9603285493241569,3,144,78.0
0.9667309349694923,3,36,172.0
0.9717661730717446,3,84,69.0
0.9731343319995801,3,52,140.0
0.9974352423029841,3,33,197.0
1.121648221968709,3,195,99.0
1.1324410748296816,3,71,143.0
1.1529509322281075,3,110,198.0
1.1650562133787437,3,124,82.0
1.166774762693898,3,50,188.0
1.1999033787695295,3,197,11.0
1.2102739919378172,3,163,116.0
1.21360307130927,3,144,171.0
1.2534242935737712,3,46,134.0
1.2787216395376002,3,72,36.0
1.28078117148378,6,82,25.0
1.2956360316679156,6,139,66.0
1.3227079620447515,3,114,72.0
1.3469356679256859,3,39,7.0
1.4289116533597177,3,56,42.0
1.5426493768315543,6,119,187.0
1.5862681114848356,3,59,51.0
1.6107981329529568,6,171,194.0
1.6213560012613586,6,171,92.0
1.6772383414431509,3,139,50.0
1.6949436110372653,3,187,164.0
1.769015652549972,3,64,180.0
1.7825552863174379,3,198,124.0
1.7864959213627924,3,102,1.0
1.7905082714791007,3,154,28.0
1.8164965881542123,3,114,110.0
1.830969743236914,3,54,15.0
1.8491143963572894,6,100,190.0
1.897274554862588,3,72,80.0
1.918361402047424,3,175,64.0
1.923685518467901,3,120,119.0
1.9534611365413816,3,198,128.0
1.96637583333194,3,177,193.0
1.994395564004104,6,67,197.0
2.0107708004558074,3,195,193.0
2.0123649477583156,3,41,149.0
2.018726447046764,3,76,105.0
2.0289418459485784,6,185,79.0
2.0304277750629525,3,139,110.0
2.0394666782455646,3,63,91.0
2.0473894106195116,6,31,59.0
2.0725142291613388,3,63,129.0
2.0835942392393076,3,129,72.0
2.085326416087656,3,132,65.0
2.0897223715884445,3,82,64.0
2.09078261620792,6,10,12.0
2.1083848934061,3,139,137.0
2.1164801260036006,3,196,101.0
2.1536441246306786,6,52,40.0
2.1544503549260097,3,113,58.0
2.162500466765034,3,58,35.0
2.2308718942956234,3,171,114.0
2.235267691380435,3,145,78.0
2.238296097901039,3,194,92.0
2.2637910742718317,3,83,15.0
2.2753460620406125,3,54,22.0
2.279488702995596,3,89,131.0
2.3032027582253702,3,183,32.0
2.315077016309625,3,24,95.0
2.319182276491071,6,128,198.0
2.3339638946047074,3,91,156.0
2.3605781807884596,3,119,42.0
2.3640888330021226,3,71,46.0
2.366045357404174,3,65,152.0
2.445042173381954,3,6,99.0
2.474324494924882,3,71,172.0
2.4870181344139564,3,14,59.0
2.547517315178101,6,56,45.0
2.5478305746153866,6,107,140.0
2.5635768725694885,3,130,6.0
2.6220831514142082,6,173,132.0
2.6426326171391907,3,141,13.0
2.6599345992098153,3,166,23.0
2.694834652052385,3,168,116.0
2.716241548427649,3,58,104.0
2.721146752887044,3,12,75.0
2.7406990804507734,3,137,94.0
2.7505805767527907,3,71,17.0
2.7567105214614114,3,144,100.0
2.7654012341180025,6,12,147.0
2.776385280974559,6,115,145.0
2.7875629470115237,3,121,77.0
2.814260888138481,3,53,158.0
2.831892429951923,6,119,62.0
2.837424969466489,3,153,118.0
2.842947832705785,3,112,65.0
